Date,Open,High,Low,Close,Volume
2020-10-31,1195,1200,1110,1200,5431
2020-11-30,1200,1225,1090,1185,32787
2020-12-31,1150,1625,1150,1590,607126
2021-01-31,1500,1550,1205,1280,10211
2021-02-28,1250,1290,1150,1290,30804
2021-03-31,1280,1290,1205,1225,23160
2021-04-30,1280,1300,1185,1300,28761
2021-05-31,1300,1485,1280,1400,22907
2021-06-30,1480,1500,1415,1490,39373
2021-07-31,1485,1895,1455,1840,31819
2021-08-31,1840,1850,1645,1830,19425
2021-09-30,1830,1980,1800,1800,41228
2021-10-31,1800,2200,1665,2150,54218
2021-11-30,2150,2480,2000,2300,33864
2021-12-31,2320,2350,2000,2100,47809
2022-01-31,2100,2210,2000,2200,25079
2022-02-28,2220,2285,2100,2250,57393
2022-03-31,2310,2450,2150,2300,101425
2022-04-30,2375,2470,2100,2380,50938
2022-05-31,2380,2400,2100,2200,9510
2022-06-30,2200,2385,2200,2355,66355
2022-07-31,2300,2345,2150,2300,41629
2022-08-31,2290,2295,2200,2250,34321
2022-09-30,2250,2380,2145,2295,51252
2022-10-31,2300,2500,2180,2340,59681
2022-11-30,2335,2350,2010,2195,680845
2022-12-31,2190,2200,1885,1895,20170
2023-01-31,1895,2040,1895,2040,61796
2023-02-28,2050,2200,2010,2100,62989
2023-03-31,2100,2290,2000,2120,40308
2023-04-30,2105,2200,2100,2150,12491
2023-05-31,2145,2200,2005,2100,28682
2023-06-30,2100,2295,2000,2290,70312
2023-07-31,2290,2380,2065,2380,50380
2023-08-31,2380,2380,2015,2150,572965
2023-09-30,2150,2315,1995,2160,85167
2023-10-31,2190,2200,1900,1900,83569
2023-11-30,1890,2000,1795,1795,75634
2023-12-31,1800,1865,1645,1800,103250
2024-01-31,1710,1865,1625,1700,51978
2024-02-29,1750,1750,1555,1685,430469
2024-03-31,1685,1750,1600,1620,103369
2024-04-30,1680,1880,1600,1880,81624
2024-05-31,1900,2100,1830,2085,82220
2024-06-30,2085,2150,2000,2110,42462
2024-07-31,2115,2250,2100,2190,100972
2024-08-31,2245,2600,2185,2600,243864
2024-09-30,2600,2700,2130,2290,133482
2024-10-31,2270,2550,2160,2450,112420
2024-11-30,2450,2525,2350,2390,50375
2024-12-31,2390,2500,2180,2500,65907
2025-01-31,2500,2500,2350,2495,57471
2025-02-28,2375,3790,2375,3790,205198
2025-03-31,3555,3905,3350,3480,192206
2025-04-30,3485,4190,3200,3545,243762
2025-05-31,3280,3545,2300,2540,187012
2025-06-30,2410,2945,2410,2650,211132
2025-07-31,2695,2700,2400,2525,115903
2025-08-31,2550,2600,2405,2540,282711
2025-09-30,2480,2540,2260,2400,152703
2025-10-31,2445,2535,2160,2390,317446
