Date,Open,High,Low,Close,Volume
2020-12-31,1150,1625,1090,1590,635754
2021-03-31,1500,1550,1150,1225,64175
2021-06-30,1280,1500,1185,1490,91041
2021-09-30,1485,1980,1455,1800,92472
2021-12-31,1800,2480,1665,2100,135891
2022-03-31,2100,2450,2000,2300,183897
2022-06-30,2375,2470,2100,2355,126803
2022-09-30,2300,2380,2145,2295,127202
2022-12-31,2300,2500,1885,1895,760696
2023-03-31,1895,2290,1895,2120,165093
2023-06-30,2105,2295,2000,2290,111485
2023-09-30,2290,2380,1995,2160,708512
2023-12-31,2190,2200,1645,1800,262453
2024-03-31,1710,1865,1555,1620,585816
2024-06-30,1680,2150,1600,2110,206306
2024-09-30,2115,2700,2100,2290,478318
2024-12-31,2270,2550,2160,2500,228702
2025-03-31,2500,3905,2350,3480,454875
2025-06-30,3485,4190,2300,2650,641906
2025-09-30,2695,2700,2260,2400,551317
2025-12-31,2445,2535,2160,2335,391124
