Date,Open,High,Low,Close,Volume
2020-11-02,1110,1200,1110,1200,541
2020-11-09,1110,1180,1110,1125,3169
2020-11-16,1100,1150,1090,1150,8952
2020-11-23,1200,1225,1145,1180,12700
2020-11-30,1190,1200,1160,1185,7826
2020-12-07,1150,1190,1150,1180,14420
2020-12-14,1160,1250,1160,1200,138990
2020-12-21,1230,1515,1210,1515,377352
2020-12-28,1410,1625,1410,1625,56628
2021-01-04,1600,1620,1500,1550,19770
2021-01-11,1485,1490,1325,1345,1117
2021-01-18,1345,1345,1205,1300,2618
2021-01-25,1300,1325,1220,1300,3894
2021-02-01,1325,1325,1250,1250,4397
2021-02-08,1250,1290,1245,1290,5190
2021-02-15,1290,1290,1150,1200,15956
2021-02-22,1200,1250,1150,1200,5555
2021-03-01,1200,1290,1200,1290,3484
2021-03-08,1290,1290,1250,1280,7228
2021-03-15,1280,1280,1250,1265,4713
2021-03-22,1275,1280,1250,1250,5513
2021-03-29,1250,1250,1205,1205,2346
2021-04-05,1210,1280,1205,1270,4117
2021-04-12,1260,1290,1260,1290,8372
2021-04-19,1260,1290,1260,1290,7364
2021-04-26,1285,1290,1270,1280,6140
2021-05-03,1290,1300,1185,1300,5869
2021-05-10,1300,1485,1300,1400,7039
2021-05-17,1400,1415,1400,1415,3402
2021-05-24,1440,1480,1400,1475,6998
2021-05-31,1475,1480,1400,1400,4497
2021-06-07,1480,1480,1415,1460,2366
2021-06-14,1420,1485,1420,1485,12625
2021-06-21,1485,1500,1455,1495,6226
2021-06-28,1495,1500,1490,1500,16704
2021-07-05,1495,1500,1455,1455,3434
2021-07-12,1455,1700,1455,1670,16973
2021-07-19,1645,1700,1590,1635,6751
2021-07-26,1635,1700,1630,1650,4651
2021-08-02,1650,1895,1650,1755,1779
2021-08-09,1800,1800,1675,1750,6404
2021-08-16,1750,1800,1645,1750,5659
2021-08-23,1750,1800,1650,1800,4149
2021-08-30,1800,1850,1800,1830,2594
2021-09-06,1840,1850,1820,1850,5091
2021-09-13,1870,1910,1850,1900,11284
2021-09-20,1850,1950,1850,1940,3936
2021-09-27,1945,1980,1805,1805,14465
2021-10-04,1805,1850,1665,1850,9575
2021-10-11,1850,1850,1800,1850,8563
2021-10-18,1820,1950,1820,1945,6096
2021-10-25,1875,2000,1875,1900,4306
2021-11-01,1900,2200,1850,2150,32432
2021-11-08,2150,2150,2000,2000,8554
2021-11-15,2090,2145,2000,2005,11326
2021-11-22,2005,2140,2005,2130,3543
2021-11-29,2130,2480,2050,2350,10113
2021-12-06,2300,2350,2215,2320,2997
2021-12-13,2320,2330,2205,2230,2399
2021-12-20,2230,2250,2145,2210,25087
2021-12-27,2190,2190,2010,2020,6712
2022-01-03,2010,2170,2000,2050,12022
2022-01-10,2000,2100,2000,2015,4884
2022-01-17,2010,2190,2010,2185,6124
2022-01-24,2185,2185,2150,2170,1820
2022-01-31,2175,2210,2150,2200,11171
2022-02-07,2220,2250,2200,2220,12747
2022-02-14,2220,2245,2100,2195,16118
2022-02-21,2155,2225,2100,2160,16919
2022-02-28,2160,2285,2140,2250,11609
2022-03-07,2310,2350,2150,2245,41556
2022-03-14,2225,2450,2200,2400,47048
2022-03-21,2400,2450,2350,2400,4738
2022-03-28,2350,2450,2350,2400,910
2022-04-04,2400,2470,2230,2230,13833
2022-04-11,2230,2350,2150,2240,6001
2022-04-18,2100,2400,2100,2400,26657
2022-04-25,2300,2410,2300,2350,4153
2022-05-02,2310,2385,2280,2380,7467
2022-05-09,2380,2400,2145,2320,2691
