Date,Open,High,Low,Close,Volume
2020-12-31,1275,1800,1265,1800,205004
2021-03-31,1665,1665,1270,1395,59622
2021-06-30,1400,1950,1210,1890,148767
2021-09-30,1895,1950,1620,1785,141207
2021-12-31,1800,2325,1730,1975,165912
2022-03-31,2000,2805,1850,2500,134317
2022-06-30,2505,2650,2260,2400,111507
2022-09-30,2485,2750,2175,2405,128763
2022-12-31,2405,2680,2120,2535,608040
2023-03-31,2535,2830,2350,2565,161707
2023-06-30,2575,2720,2440,2630,108693
2023-09-30,2620,2915,2365,2710,354840
2023-12-31,2735,2895,2160,2500,178329
2024-03-31,2315,2500,2130,2450,95785
2024-06-30,2445,2620,2100,2390,129857
2024-09-30,2350,2390,2000,2345,161812
2024-12-31,2345,2435,2085,2300,93523
2025-03-31,2300,2450,2200,2440,107310
2025-06-30,2355,2785,2200,2725,188469
2025-09-30,2725,2750,2255,2490,206428
2025-12-31,2460,2600,2430,2500,54914
