Date,Open,High,Low,Close,Volume
2020-11-02,1275,1275,1275,1275,160
2020-11-09,1275,1300,1265,1300,7317
2020-11-16,1300,1375,1270,1370,31458
2020-11-23,1390,1550,1370,1500,47427
2020-11-30,1470,1470,1350,1400,401
2020-12-07,1375,1600,1375,1600,27689
2020-12-14,1500,1500,1445,1480,1837
2020-12-21,1400,1500,1400,1500,4633
2020-12-28,1500,1660,1420,1660,50809
2021-01-04,1580,1800,1550,1665,33288
2021-01-11,1665,1665,1470,1470,1191
2021-01-18,1470,1470,1325,1325,820
2021-01-25,1300,1345,1300,1345,5945
2021-02-01,1300,1400,1300,1350,16859
2021-02-08,1345,1345,1270,1275,9956
2021-02-15,1300,1300,1285,1290,1310
2021-02-22,1295,1345,1285,1305,3827
2021-03-01,1310,1345,1300,1300,1607
2021-03-08,1310,1355,1305,1355,4534
2021-03-15,1355,1355,1335,1340,3624
2021-03-22,1340,1395,1280,1395,4937
2021-03-29,1385,1400,1355,1400,4390
2021-04-05,1400,1400,1395,1395,656
2021-04-12,1330,1395,1300,1385,3159
2021-04-19,1385,1385,1285,1300,3365
2021-04-26,1300,1300,1210,1270,10289
2021-05-03,1285,1370,1275,1340,5791
2021-05-10,1340,1445,1280,1405,9333
2021-05-17,1400,1445,1400,1445,5156
2021-05-24,1410,1445,1400,1445,13648
2021-05-31,1440,1445,1410,1445,10025
2021-06-07,1445,1495,1440,1495,5938
2021-06-14,1495,1645,1450,1590,12964
2021-06-21,1705,1900,1665,1800,49147
2021-06-28,1830,1950,1780,1895,13062
2021-07-05,1895,1945,1855,1855,9030
2021-07-12,1855,1855,1780,1840,16950
2021-07-19,1820,1940,1820,1855,7624
2021-07-26,1925,1950,1810,1910,19322
2021-08-02,1915,1945,1655,1680,12754
2021-08-09,1675,1820,1620,1705,6972
2021-08-16,1830,1830,1700,1760,5229
2021-08-23,1760,1800,1755,1800,3486
2021-08-30,1800,1825,1775,1800,27892
2021-09-06,1800,1800,1700,1745,4935
2021-09-13,1745,1750,1715,1715,4740
2021-09-20,1740,1785,1720,1740,8045
2021-09-27,1740,1825,1720,1825,13582
