Date,Open,High,Low,Close,Volume
2020-11-13,4165,4165,4165,4165,24
2020-11-18,4165,4165,4165,4165,6
2020-11-23,4165,4165,4165,4165,2
2020-11-27,4165,4165,4165,4165,5
2021-01-20,4165,4165,4165,4165,3
2021-01-28,4165,4165,4165,4165,8
2021-02-22,4165,4165,4165,4165,4
2021-02-25,4085,4085,4085,4085,2
2021-03-09,4085,4085,4085,4085,9
2021-03-16,4085,4085,4085,4085,5
2021-03-17,4085,4085,4085,4085,15
2021-03-30,4085,4085,4085,4085,1
2021-04-19,4085,4085,4085,4085,5
2021-04-23,4085,4085,4085,4085,15
2021-05-03,4390,4390,4390,4390,10
2021-05-14,4390,4390,4390,4390,10
2021-05-18,4400,4400,4400,4400,9
2021-06-23,4550,4550,4550,4550,25
2021-06-30,4550,4550,4550,4550,70
2021-07-08,4550,4550,4550,4550,3
2021-08-04,4550,4550,4550,4550,16
2021-08-05,4550,4550,4550,4550,2
2021-08-17,4550,4550,4550,4550,15
2021-08-18,4550,4550,4550,4550,17
2021-08-19,4550,4550,4550,4550,10
2021-08-20,4550,4550,4550,4550,12
2021-08-25,4550,4550,4400,4400,30
2021-09-02,4400,4400,4400,4400,10
2021-09-13,4550,4550,4550,4550,2
2021-09-16,4550,4550,4550,4550,9
2021-10-20,4850,4850,4850,4850,2
2021-10-21,4900,4900,4900,4900,10
2021-10-22,4850,4850,4550,4550,17
2021-10-28,4550,4550,4550,4550,9
2021-11-19,4550,4550,4550,4550,12
2021-12-03,4550,4550,4550,4550,5
2021-12-16,4550,4550,4550,4550,3
2021-12-23,4550,4550,4550,4550,1
2021-12-28,4560,4560,4560,4560,7
2021-12-30,4890,4890,4890,4890,12
2021-12-31,4890,4890,4890,4890,23
2022-01-07,4890,4890,4890,4890,3
2022-01-10,4890,4890,4890,4890,2
2022-01-14,4890,4890,4800,4800,10
2022-01-21,4850,4850,4850,4850,45
2022-02-14,4850,4850,4850,4850,7
2022-02-15,4850,4850,4850,4850,14
2022-07-13,5010,5010,5010,5010,10
2022-07-15,5385,5385,5385,5385,1
2022-07-20,5700,5700,5700,5700,10
2022-07-22,5780,5780,5780,5780,5
2022-08-04,5800,5800,5800,5800,300
2022-08-05,5805,5805,5800,5800,31
2022-08-09,5800,5800,5800,5800,127
2022-08-30,6200,6200,6200,6200,5
2022-08-31,6200,6200,6200,6200,42
2022-09-01,6235,6235,6235,6235,25
2022-09-05,6235,6235,6235,6235,11
2022-09-06,6235,6235,6235,6235,214
2022-09-07,6700,6700,6700,6700,370
2022-09-09,6700,6700,6700,6700,1
2022-09-19,7035,7035,7000,7000,59
2022-09-20,7000,7000,7000,7000,2
2022-09-22,7000,7000,7000,7000,12
2022-09-28,7000,7035,7000,7035,5
2022-09-30,7035,7035,7035,7035,11
2022-10-04,7035,7035,7035,7035,21
2022-10-05,7030,7030,7000,7000,14
2022-10-06,7000,7030,7000,7030,39
2022-10-07,7030,7030,7000,7000,102
2022-10-10,7000,7000,7000,7000,3
2022-10-11,7030,7030,7030,7030,4
2022-10-14,7030,7030,7000,7000,18
2022-10-18,7000,7000,7000,7000,101
2022-10-19,7030,7030,7030,7030,3
2022-10-25,7030,7030,7030,7030,1
2022-10-26,7030,7030,7030,7030,10
2022-10-27,7030,7030,7030,7030,1
2022-11-24,7030,7030,7030,7030,6
2022-12-02,7030,7030,7030,7030,2
2022-12-07,7105,7105,7030,7030,51
2022-12-08,7030,7030,7030,7030,10
2022-12-09,7030,7030,7030,7030,5
2022-12-14,7000,7030,7000,7030,10
2022-12-23,7030,7030,7030,7030,1
2022-12-27,7025,7025,7025,7025,2
2022-12-30,7025,7025,7025,7025,42
2023-01-06,7020,7020,7020,7020,1
2023-01-09,7020,7020,7020,7020,100
2023-01-18,7020,7020,7020,7020,48
2023-01-24,7020,7020,7020,7020,15
2023-02-13,7020,7020,7020,7020,5
2023-02-17,7020,7020,7020,7020,513
2023-02-23,7020,7020,7020,7020,23
2023-03-08,7025,7025,7025,7025,5
2023-03-28,7550,7550,7550,7550,5
2023-03-29,7550,7550,7550,7550,1
2023-03-30,7550,7550,7550,7550,1
2023-03-31,7395,7395,7020,7020,227
2023-04-03,6800,6800,6800,6800,5
2023-04-12,6800,6800,6800,6800,406
2023-04-26,6790,6790,6790,6790,22
2023-04-28,6790,6790,6790,6790,8
2023-05-16,6645,6645,6645,6645,1
2023-05-17,6645,6645,6645,6645,31
2023-06-01,6640,6640,6640,6640,10
2023-06-09,6645,6645,6645,6645,6
2023-06-14,6645,6645,6645,6645,10
2023-06-30,6645,6645,6645,6645,5
2023-07-03,6600,6645,6600,6600,10
2023-07-04,6600,6600,6550,6550,52
2023-07-11,6420,6550,6420,6420,12
2023-07-14,5940,6420,5940,6420,11
2023-07-20,6420,6420,6420,6420,10
2023-07-21,6415,6420,6420,6420,15
2023-07-24,5940,6420,5940,5940,100
2023-07-26,5940,5940,5940,5940,20
2023-07-31,5895,5940,5895,5895,33
2023-08-01,5895,5895,5895,5895,5
2023-08-16,5895,5895,5895,5895,4
2023-08-17,5800,5895,5800,5800,23
2023-08-18,5800,5800,5800,5800,20
2023-08-25,5365,5365,5365,5365,6
2023-09-01,5200,5365,5200,5200,14
2023-09-04,5200,5200,5200,5200,31
2023-09-05,5200,5300,5200,5300,5
2023-09-06,5300,5300,5300,5300,13
2023-09-20,5300,5300,5300,5300,20
2023-09-21,5300,5300,5300,5300,10
2023-09-22,5300,5300,5300,5300,10
2023-09-26,5300,5300,5300,5300,1
2023-10-02,5300,5300,5300,5300,2
2023-10-11,5305,5300,5300,5300,13
2023-10-16,5000,5300,5000,5000,3
2023-10-17,5300,5300,5000,5300,1
2023-10-18,5000,5300,5000,5000,122
2023-10-19,4995,5000,4995,5000,65
2023-10-24,5000,5000,5000,5000,20
2023-10-27,5000,5000,5000,5000,16
2023-10-30,5000,5000,5000,5000,80
2023-10-31,5000,5000,5000,5000,16
2023-11-03,5000,5000,5000,5000,10
2023-11-06,5000,5000,5000,5000,45
2023-11-10,5000,5000,5000,5000,20
2023-11-13,5000,5000,5000,5000,2
2023-11-21,5000,5000,5000,5000,1
2023-11-23,5000,5000,5000,5000,10
2023-11-27,5000,5000,5000,5000,20
2023-11-28,5000,5000,5000,5000,10
2023-11-29,5000,5000,5000,5000,3
2023-12-01,5000,5000,5000,5000,2
2023-12-07,5000,5000,5000,5000,2
2023-12-15,5000,5000,5000,5000,1
2023-12-27,5000,5000,5000,5000,10
2024-01-03,5000,5000,5000,5000,30
2024-01-09,5000,5000,5000,5000,2
2024-01-16,5000,5000,5000,5000,3
2024-01-18,5000,5000,5000,5000,25
2024-01-23,5000,5000,5000,5000,20
2024-01-24,5000,5000,5000,5000,8
2024-01-26,5350,5350,5000,5350,1
2024-01-29,5325,5350,5325,5350,63
2024-02-01,5750,5750,5350,5750,1
2024-02-02,6180,6180,5750,6180,13
2024-02-05,6640,6640,6180,6640,7
2024-02-06,6150,6640,6150,6150,1
2024-02-08,6150,6150,6150,6150,3
2024-02-23,6250,6250,6150,6250,10
2024-02-26,6250,6250,6150,6150,22
2024-02-28,6000,6150,6000,6000,1
2024-03-06,6000,6000,6000,6000,4
2024-03-15,6000,6000,6000,6000,3
2024-03-19,6000,6000,6000,6000,2
2024-03-21,6000,6000,6000,6000,1
2024-03-25,6000,6000,6000,6000,10
2024-03-26,5995,6000,6000,6000,20
2024-03-28,6000,6000,6000,6000,1
2024-04-16,6000,6000,6000,6000,1
2024-04-24,6000,6000,6000,6000,1
2024-05-03,6000,6000,6000,6000,17
2024-05-13,5900,6000,5900,5900,15
2024-05-21,5900,5900,5900,5900,3
2024-05-28,5900,5900,5900,5900,2
2024-05-30,6000,6000,5900,6000,1
2024-05-31,6000,6450,6000,6450,10
2024-06-03,6450,6450,6450,6450,13
2024-06-06,6500,6500,6450,6500,15
2024-06-10,6450,6500,6450,6450,4
2024-06-11,6505,6505,6450,6505,5
2024-06-12,6505,6505,6505,6505,1
2024-06-13,6500,6505,6500,6500,2
2024-06-18,6500,6500,6500,6500,1
2024-06-19,6500,6500,6500,6500,1
2024-06-25,6500,6500,6500,6500,6
2024-07-03,6500,6500,6500,6500,5
2024-07-04,6505,6505,6500,6500,9
2024-07-08,6500,6500,6500,6500,2
2024-07-22,6500,6500,6500,6500,2
2024-07-29,6500,6500,6500,6500,2
2024-08-01,6500,6500,6500,6500,4
2024-08-05,6015,6500,6015,6015,1
2024-08-13,6015,6015,6015,6015,5
2024-08-22,6015,6015,5565,5565,7
2024-08-23,5150,5565,5150,5565,10
2024-08-27,5600,5960,5565,5960,5
2024-08-28,5965,5965,5960,5960,20
2024-08-29,5960,5960,5960,5960,1
2024-08-30,6405,6405,5960,6405,6
2024-09-04,6885,6885,6405,6405,2
2024-09-05,6885,6885,6405,6885,3
2024-09-06,7400,7400,6885,7300,21
2024-09-11,7305,7300,7270,7270,20
2024-09-12,7300,7300,7270,7300,8
2024-09-13,7300,7300,7300,7300,4
2024-09-16,7300,7300,7300,7300,6
2024-09-17,7300,7300,7300,7300,1
2024-09-18,7300,7300,7300,7300,1
2024-09-23,7845,7845,7300,7845,1
2024-10-03,7845,7845,7845,7845,4
2024-10-04,7800,7845,7800,7800,1
2024-10-10,7850,7850,7800,7845,22
2024-10-15,7840,7845,7840,7840,3
2024-10-16,7840,7840,7840,7840,5
2024-10-17,7840,7840,7840,7840,3
2024-10-22,7820,7840,7820,7820,3
2024-10-23,7820,7820,7820,7820,4
2024-10-24,7820,7820,7820,7820,10
2024-10-25,7820,7820,7820,7820,34
2024-10-28,7850,7850,7820,7850,5
2024-10-29,7850,7850,7850,7850,18
2024-10-30,7850,7850,7850,7850,4
2024-11-05,7850,7850,7850,7850,3
2024-11-07,7850,7850,7850,7850,2
2024-11-08,7850,7850,7850,7850,1
2024-11-13,7850,7850,7850,7850,1
2024-11-21,7850,7850,7850,7850,30
2024-11-22,7850,7850,7850,7850,6
2024-11-28,7850,7850,7850,7850,1
2024-11-29,7850,7850,7850,7850,2
2024-12-02,7850,7850,7850,7850,2
2024-12-05,7850,7850,7850,7850,5
2024-12-06,7850,7850,7850,7850,3
2024-12-09,7850,7850,7850,7850,1
