Date,Open,High,Low,Close,Volume
2020-11-30,4165.0,4165.0,4165.0,4165.0,37
2021-01-31,4165.0,4165.0,4165.0,4165.0,11
2021-02-28,4165.0,4165.0,4085.0,4085.0,6
2021-03-31,4085.0,4085.0,4085.0,4085.0,30
2021-04-30,4085.0,4085.0,4085.0,4085.0,20
2021-05-31,4390.0,4400.0,4390.0,4400.0,29
2021-06-30,4550.0,4550.0,4550.0,4550.0,95
2021-07-31,4550.0,4550.0,4550.0,4550.0,3
2021-08-31,4550.0,4550.0,4400.0,4400.0,102
2021-09-30,4400.0,4550.0,4400.0,4550.0,21
2021-10-31,4850.0,4900.0,4550.0,4550.0,38
2021-11-30,4550.0,4550.0,4550.0,4550.0,12
2021-12-31,4550.0,4890.0,4550.0,4890.0,51
2022-01-31,4890.0,4890.0,4800.0,4850.0,60
2022-02-28,4850.0,4850.0,4850.0,4850.0,21
2022-07-31,5010.0,5780.0,5010.0,5780.0,26
2022-08-31,5800.0,6200.0,5800.0,6200.0,505
2022-09-30,6235.0,7035.0,6235.0,7035.0,710
2022-10-31,7035.0,7035.0,7000.0,7030.0,317
2022-11-30,7030.0,7030.0,7030.0,7030.0,6
2022-12-31,7030.0,7105.0,7000.0,7025.0,123
2023-01-31,7020.0,7020.0,7020.0,7020.0,164
2023-02-28,7020.0,7020.0,7020.0,7020.0,541
2023-03-31,7025.0,7550.0,7020.0,7020.0,239
2023-04-30,6800.0,6800.0,6790.0,6790.0,441
2023-05-31,6645.0,6645.0,6645.0,6645.0,32
2023-06-30,6640.0,6645.0,6640.0,6645.0,31
2023-07-31,6600.0,6645.0,5895.0,5895.0,263
2023-08-31,5895.0,5895.0,5365.0,5365.0,58
2023-09-30,5200.0,5365.0,5200.0,5300.0,104
2023-10-31,5300.0,5300.0,4995.0,5000.0,338
2023-11-30,5000.0,5000.0,5000.0,5000.0,121
2023-12-31,5000.0,5000.0,5000.0,5000.0,15
2024-01-31,5000.0,5350.0,5000.0,5350.0,152
2024-02-29,5750.0,6640.0,5350.0,6000.0,58
2024-03-31,6000.0,6000.0,6000.0,6000.0,41
2024-04-30,6000.0,6000.0,6000.0,6000.0,2
2024-05-31,6000.0,6450.0,5900.0,6450.0,48
2024-06-30,6450.0,6505.0,6450.0,6500.0,48
2024-07-31,6500.0,6505.0,6500.0,6500.0,20
2024-08-31,6500.0,6500.0,5150.0,6405.0,59
2024-09-30,6885.0,7845.0,6405.0,7845.0,67
2024-10-31,7845.0,7850.0,7800.0,7850.0,116
2024-11-30,7850.0,7850.0,7850.0,7850.0,46
2024-12-31,7850.0,7850.0,6475.0,6475.0,88
2025-01-31,6395.0,6475.0,5990.0,6450.0,114
2025-02-28,6450.0,7000.0,6450.0,7000.0,73
2025-03-31,6995.0,7550.0,5990.0,6575.0,138
2025-04-30,6575.0,11870.0,6575.0,10275.0,61
2025-05-31,10275.0,11825.0,10175.0,11265.0,252
2025-06-30,11265.0,18440.0,11265.0,18440.0,300
2025-07-31,18180.0,48970.0,18000.0,48970.0,211
2025-08-31,52640.0,52640.0,48970.0,52640.0,6
2025-09-30,52640.0,52640.0,18000.0,18500.0,456
2025-10-31,18500.0,23000.0,18500.0,23000.0,147
