Date,Open,High,Low,Close,Volume
2020-12-31,4165.0,4165.0,4165.0,4165.0,37
2021-03-31,4165.0,4165.0,4085.0,4085.0,47
2021-06-30,4085.0,4550.0,4085.0,4550.0,144
2021-09-30,4550.0,4550.0,4400.0,4550.0,126
2021-12-31,4850.0,4900.0,4550.0,4890.0,101
2022-03-31,4890.0,4890.0,4800.0,4850.0,81
2022-09-30,5010.0,7035.0,5010.0,7035.0,1241
2022-12-31,7035.0,7105.0,7000.0,7025.0,446
2023-03-31,7020.0,7550.0,7020.0,7020.0,944
2023-06-30,6800.0,6800.0,6640.0,6645.0,504
2023-09-30,6600.0,6645.0,5200.0,5300.0,425
2023-12-31,5300.0,5300.0,4995.0,5000.0,474
2024-03-31,5000.0,6640.0,5000.0,6000.0,251
2024-06-30,6000.0,6505.0,5900.0,6500.0,98
2024-09-30,6500.0,7845.0,5150.0,7845.0,146
2024-12-31,7845.0,7850.0,6475.0,6475.0,250
2025-03-31,6395.0,7550.0,5990.0,6575.0,325
2025-06-30,6575.0,18440.0,6575.0,18440.0,613
2025-09-30,18180.0,52640.0,18000.0,18500.0,673
2025-12-31,18500.0,23005.0,18500.0,23005.0,154
