Date,Open,High,Low,Close,Volume
2020-10-30,800,860,800,860,5468
2020-11-02,845,895,800,895,23274
2020-11-03,860,860,860,860,2
2020-11-04,850,850,800,800,700
2020-11-05,800,860,790,860,423
2020-11-09,860,860,860,860,30
2020-11-10,860,890,860,890,1454
2020-11-11,890,890,860,885,380
2020-11-12,890,890,820,890,13452
2020-11-13,885,955,885,955,9690
2020-11-16,955,1000,900,1000,48670
2020-11-17,1000,1075,1000,1070,6449
2020-11-18,1070,1100,1000,1100,5986
2020-11-19,1070,1095,1070,1095,487
2020-11-20,1075,1150,1075,1150,11722
2020-11-23,1150,1200,1150,1200,9811
2020-11-24,1230,1230,1200,1200,861
2020-11-25,1185,1185,1150,1150,870
2020-11-26,1150,1160,1065,1065,4045
2020-11-27,1000,1140,1000,1140,50363
2020-11-30,1070,1070,1055,1055,440
2020-12-01,1050,1050,1000,1000,12678
2020-12-02,1000,1000,1000,1000,1634
2020-12-03,1000,1000,950,950,6781
2020-12-04,950,950,950,950,5
2020-12-07,955,955,955,955,900
2020-12-08,1000,1000,995,995,10
2020-12-09,995,1000,995,995,245
2020-12-10,995,1050,995,1050,3
2020-12-11,1050,1050,1050,1050,10
2020-12-14,1045,1045,1000,1000,663
2020-12-15,1000,1000,955,995,595
2020-12-16,1000,1000,995,995,120
2020-12-17,995,995,990,990,230
2020-12-18,995,1030,950,1030,23807
2020-12-21,1030,1050,1025,1050,4495
2020-12-22,1050,1075,1050,1075,8284
2020-12-23,1100,1100,1055,1075,15842
2020-12-24,1075,1075,1070,1070,4657
2020-12-28,1070,1070,1000,1000,1294
2020-12-29,1000,1050,980,1050,3981
2020-12-30,1045,1070,1000,1000,8089
2020-12-31,1000,1000,1000,1000,157
2021-01-04,1000,1050,1000,1050,303
2021-01-05,1050,1050,1000,1050,248
2021-01-06,1050,1050,1045,1045,53
2021-01-07,1045,1050,1045,1045,690
2021-01-08,1045,1100,1045,1045,1715
2021-01-11,1000,1090,1000,1090,271
2021-01-12,1090,1100,1045,1100,1420
2021-01-13,1055,1055,1055,1055,225
2021-01-14,1060,1060,1055,1055,1442
2021-01-15,1055,1055,1000,1055,19
2021-01-18,1055,1055,1055,1055,400
2021-01-19,1055,1100,1055,1095,1420
2021-01-20,1095,1100,1090,1100,1439
2021-01-21,1090,1100,1090,1100,1437
2021-01-22,1090,1090,1055,1055,160
2021-01-25,1080,1095,1050,1080,1170
2021-01-26,1095,1095,1080,1080,249
2021-01-27,1080,1080,1045,1050,3905
2021-01-28,1080,1080,1045,1045,388
2021-01-29,1045,1050,1045,1050,302
2021-02-01,1050,1070,1050,1070,955
2021-02-02,1050,1080,1050,1050,3684
2021-02-03,1050,1050,1050,1050,598
2021-02-04,1050,1050,1010,1010,20
2021-02-05,1010,1010,1000,1000,450
2021-02-08,1050,1050,1050,1050,5
2021-02-09,1050,1050,1000,1045,3551
2021-02-10,1000,1045,1000,1025,20363
2021-02-11,1005,1040,1000,1040,1004
2021-02-12,1040,1040,1000,1040,24372
2021-02-15,1040,1040,1040,1040,86
2021-02-16,1040,1040,1040,1040,64
2021-02-17,1005,1040,1005,1040,91
2021-02-18,1045,1045,1005,1040,6224
2021-02-19,1000,1040,1000,1040,710
2021-02-22,1040,1040,1040,1040,2410
2021-02-23,1040,1040,1035,1035,55
2021-02-24,1005,1040,1000,1000,4683
2021-02-25,1000,1000,945,1000,15130
2021-02-26,1000,1035,1000,1035,2100
2021-03-01,1035,1035,1000,1000,150
2021-03-02,1000,1000,995,1000,951
2021-03-03,1000,1000,995,1000,2230
2021-03-04,1000,1025,995,995,1759
2021-03-05,995,995,995,995,1292
2021-03-08,1000,1000,995,995,573
2021-03-09,995,995,990,995,2497
2021-03-10,990,990,985,990,1045
2021-03-11,995,995,955,955,850
2021-03-12,955,1000,955,1000,355
2021-03-15,995,1000,955,955,990
2021-03-16,1000,1000,995,995,236
2021-03-17,990,990,990,990,50
2021-03-18,990,995,990,995,146
2021-03-19,995,995,995,995,203
2021-03-22,995,995,995,995,170
2021-03-23,995,995,990,995,598
2021-03-24,995,995,985,985,403
2021-03-25,985,985,985,985,118
