Date,Open,High,Low,Close,Volume
2020-12-31,890,1230,820,1000,257326
2021-03-31,1000,1100,945,960,122619
2021-06-30,1000,1490,960,1490,201852
2021-09-30,1510,2185,1490,2180,232147
2021-12-31,2150,2185,1890,2000,291330
2022-03-31,2050,2095,1905,2000,270894
2022-06-30,2000,2000,1305,1365,76346
2022-09-30,1360,1450,1200,1220,93367
2022-12-31,1220,1220,720,770,221555
2023-03-31,775,850,725,770,178504
2023-06-30,750,890,600,740,195064
2023-09-30,740,850,690,790,87890
2023-12-31,790,805,500,535,229562
2024-03-31,535,590,505,530,144773
2024-06-30,530,545,370,415,187878
2024-09-30,415,450,390,420,212956
2024-12-31,420,505,380,410,160847
2025-03-31,415,420,370,410,212795
2025-06-30,410,745,380,595,382884
2025-09-30,590,1395,505,1270,945857
2025-12-31,1265,1990,1175,1595,836480
