Date,Open,High,Low,Close,Volume
2020-11-02,845,895,800,895,23274
2020-11-09,860,860,790,860,1155
2020-11-16,860,1000,820,1000,73646
2020-11-23,1000,1200,1000,1200,34455
2020-11-30,1230,1230,1000,1055,56579
2020-12-07,1050,1050,950,955,21998
2020-12-14,1000,1050,995,1000,931
2020-12-21,1000,1050,950,1050,29247
2020-12-28,1050,1100,1000,1000,30077
2021-01-04,1000,1070,980,1050,12530
2021-01-11,1050,1100,1000,1090,2977
2021-01-18,1090,1100,1000,1055,3506
2021-01-25,1055,1100,1050,1080,5626
2021-02-01,1095,1095,1045,1070,5799
2021-02-08,1050,1080,1000,1050,4757
2021-02-15,1050,1050,1000,1040,49376
2021-02-22,1040,1045,1000,1040,9499
2021-03-01,1040,1040,945,1000,22118
2021-03-08,1000,1025,995,995,6805
2021-03-15,995,1000,955,955,5737
2021-03-22,1000,1000,990,995,805
2021-03-29,995,995,970,970,2430
2021-04-05,970,1000,950,970,5457
2021-04-12,1000,1000,965,965,6524
2021-04-19,990,1000,980,990,2268
2021-04-26,990,1030,960,1015,7728
2021-05-03,1015,1040,1000,1040,13502
2021-05-10,1095,1100,1020,1060,20260
2021-05-17,1065,1150,1065,1150,16496
2021-05-24,1130,1280,1130,1180,12611
2021-05-31,1180,1440,1155,1345,15470
2021-06-07,1345,1345,1250,1250,15720
2021-06-14,1215,1400,1200,1350,44119
2021-06-21,1350,1360,1310,1360,12009
2021-06-28,1350,1400,1350,1390,27322
2021-07-05,1395,1700,1385,1610,16511
2021-07-12,1610,1610,1490,1500,13113
2021-07-19,1500,1595,1490,1590,4363
2021-07-26,1595,1600,1510,1510,7619
2021-08-02,1515,1625,1515,1600,4756
2021-08-09,1580,1600,1520,1520,10808
2021-08-16,1550,1600,1520,1550,5800
2021-08-23,1525,1750,1525,1700,4767
2021-08-30,1720,2000,1700,1900,12374
2021-09-06,2000,2000,1890,2000,41039
2021-09-13,1995,2000,1945,2000,33222
2021-09-20,2000,2050,1980,2050,38354
2021-09-27,2050,2050,2015,2045,27529
2021-10-04,2050,2185,2050,2060,21146
2021-10-11,2075,2075,2050,2050,9445
2021-10-18,2050,2050,1950,1980,3662
2021-10-25,1900,1950,1890,1920,4812
2021-11-01,1915,2060,1915,2060,13879
2021-11-08,2050,2185,2040,2160,56666
2021-11-15,2160,2165,2100,2160,3136
2021-11-22,2105,2165,2075,2100,6921
2021-11-29,2095,2145,1930,2130,14893
2021-12-06,2065,2130,2000,2050,20519
2021-12-13,2000,2050,1950,2045,60117
2021-12-20,2050,2050,2000,2050,6250
2021-12-27,2050,2050,1980,2000,20322
2022-01-03,1990,2050,1950,2040,70229
2022-01-10,2040,2040,1905,1905,5703
2022-01-17,1940,2035,1905,2000,23363
2022-01-24,2000,2020,1970,2000,2761
2022-01-31,2000,2050,2000,2025,15516
2022-02-07,2025,2075,2005,2055,116798
2022-02-14,2075,2090,2010,2080,22682
2022-02-21,2080,2095,2050,2090,7907
2022-02-28,2090,2090,2005,2070,5063
2022-03-07,2080,2090,2045,2085,6862
2022-03-14,2060,2085,2040,2040,16468
2022-03-21,2040,2050,2010,2030,24300
2022-03-28,2020,2035,1990,2000,13597
2022-04-04,2000,2000,1980,1985,8876
2022-04-11,2000,2000,1985,2000,8257
2022-04-18,1995,2000,1995,2000,3573
2022-04-25,2000,2000,1980,2000,6313
2022-05-02,1990,2000,1900,2000,6031
2022-05-09,1850,1850,1400,1500,8690
2022-05-16,1505,1545,1390,1400,10007
2022-05-23,1400,1410,1310,1400,5893
2022-05-30,1395,1500,1395,1420,5005
2022-06-06,1420,1500,1350,1500,4293
2022-06-13,1500,1500,1395,1400,5801
2022-06-20,1400,1405,1390,1395,3766
2022-06-27,1395,1395,1350,1360,3302
2022-07-04,1360,1370,1300,1350,4829
2022-07-11,1350,1350,1310,1340,20515
2022-07-18,1350,1350,1315,1325,4684
2022-07-25,1325,1350,1325,1350,1802
2022-08-01,1350,1450,1340,1360,4410
2022-08-08,1360,1435,1350,1350,973
2022-08-15,1350,1395,1255,1350,3827
2022-08-22,1350,1355,1255,1300,2918
2022-08-29,1300,1300,1290,1300,8915
2022-09-05,1300,1300,1275,1295,7551
2022-09-12,1295,1295,1200,1210,13110
2022-09-19,1210,1250,1200,1250,17659
2022-09-26,1250,1250,1215,1250,3190
2022-10-03,1250,1250,1215,1220,1991
2022-10-10,1220,1220,1200,1200,2563
2022-10-17,1180,1215,1180,1190,4000
2022-10-24,1185,1205,1100,1165,10449
2022-10-31,1185,1195,1100,1100,3597
2022-11-07,1100,1100,1020,1095,4440
2022-11-14,1095,1095,945,1010,21907
2022-11-21,1010,1030,950,950,11457
2022-11-28,950,1005,930,950,20991
2022-12-05,950,950,800,800,13119
2022-12-12,850,850,785,800,18452
2022-12-19,800,860,790,790,38029
2022-12-26,790,790,750,750,51054
2023-01-02,755,790,720,775,22904
2023-01-09,790,850,785,805,17570
2023-01-16,800,800,750,780,9213
2023-01-23,725,800,725,800,4521
2023-01-30,795,810,785,785,5275
2023-02-06,790,795,775,790,4515
2023-02-13,780,795,750,790,21103
2023-02-20,790,795,755,780,29617
2023-02-27,760,800,725,780,16018
2023-03-06,735,775,730,755,15815
2023-03-13,765,775,740,770,5978
2023-03-20,750,780,745,780,21837
2023-03-27,780,780,740,775,13088
2023-04-03,790,790,730,730,14479
2023-04-10,770,770,740,750,1306
2023-04-17,755,770,755,760,3979
2023-04-24,760,760,755,755,3033
2023-05-01,760,760,750,750,3717
2023-05-08,695,695,600,665,7931
2023-05-15,670,685,620,665,4142
2023-05-22,680,685,650,650,3877
2023-05-29,680,680,620,620,8290
2023-06-05,620,635,620,635,12038
2023-06-12,635,700,630,700,14317
2023-06-19,700,725,675,725,100023
2023-06-26,775,890,765,765,23147
2023-07-03,770,770,690,735,7711
2023-07-10,740,750,695,750,3722
2023-07-17,750,750,690,720,4126
2023-07-24,720,750,705,725,7743
2023-07-31,750,780,700,765,11091
2023-08-07,770,780,715,750,4352
2023-08-14,750,770,715,760,5347
2023-08-21,760,760,710,740,12786
2023-08-28,740,850,715,830,9899
2023-09-04,835,835,720,750,5001
2023-09-11,750,780,735,760,5675
2023-09-18,755,825,755,800,9175
2023-09-25,760,800,760,800,7575
2023-10-02,800,805,780,800,1051
2023-10-09,790,800,740,760,16401
2023-10-16,775,775,715,735,45982
2023-10-23,705,750,695,700,9360
2023-10-30,700,740,680,740,3612
2023-11-06,730,740,630,650,23849
2023-11-13,650,650,600,620,28741
2023-11-20,625,620,580,600,8872
2023-11-27,595,625,580,605,9425
2023-12-04,560,625,560,610,8106
2023-12-11,610,620,525,600,19269
2023-12-18,595,600,500,580,33616
2023-12-25,540,580,500,540,6641
2024-01-01,540,575,535,535,15534
2024-01-08,535,570,535,570,3814
2024-01-15,575,590,560,575,3774
2024-01-22,575,575,530,545,12611
2024-01-29,545,585,540,540,4187
2024-02-05,540,550,515,520,3005
2024-02-12,520,550,520,545,13224
2024-02-19,530,570,525,550,23008
2024-02-26,550,550,520,530,27683
2024-03-04,530,550,505,540,18310
2024-03-11,550,590,505,590,8729
2024-03-18,590,590,510,530,12277
2024-03-25,530,535,510,515,12803
2024-04-01,510,530,510,530,1348
2024-04-08,530,545,510,525,5488
2024-04-15,525,530,520,520,4147
2024-04-22,530,530,500,515,21782
2024-04-29,515,515,500,515,4606
2024-05-06,500,515,405,405,12837
2024-05-13,405,420,370,420,21376
2024-05-20,420,435,380,420,15665
2024-05-27,390,450,390,425,7668
2024-06-03,430,450,370,380,35132
2024-06-10,380,400,380,400,22433
2024-06-17,400,415,370,405,15946
2024-06-24,390,410,380,410,10964
2024-07-01,410,420,380,420,11485
2024-07-08,415,450,390,430,27402
2024-07-15,430,430,405,420,12650
2024-07-22,420,425,400,425,9689
2024-07-29,425,425,400,405,9106
2024-08-05,410,435,400,410,10986
2024-08-12,410,435,400,435,14867
2024-08-19,435,435,400,420,5685
2024-08-26,435,435,410,430,5682
2024-09-02,430,435,400,420,19008
2024-09-09,420,430,400,405,32977
2024-09-16,425,425,400,405,41347
2024-09-23,410,425,405,420,10008
2024-09-30,420,425,410,420,11898
2024-10-07,420,445,410,430,17663
2024-10-14,425,505,420,495,19005
2024-10-21,500,500,445,445,12625
2024-10-28,450,475,445,455,16609
2024-11-04,455,460,410,410,11001
2024-11-11,405,440,390,405,15089
2024-11-18,400,410,395,400,10115
2024-11-25,380,440,380,420,12856
2024-12-02,420,420,390,390,12277
2024-12-09,395,420,390,410,11138
2024-12-16,410,410,385,405,6892
2024-12-23,405,405,380,390,8581
2024-12-30,390,410,390,395,6845
2025-01-06,415,415,395,410,1318
2025-01-13,415,420,390,390,8381
2025-01-20,395,415,390,390,4985
2025-01-27,390,400,380,380,9708
2025-02-03,375,395,370,385,9527
2025-02-10,385,415,385,400,8486
2025-02-17,380,400,380,400,7961
2025-02-24,400,415,380,400,41623
2025-03-03,400,410,385,410,14698
2025-03-10,410,410,385,405,23975
2025-03-17,405,420,405,415,51798
2025-03-24,415,415,390,400,20169
2025-03-31,405,410,395,410,10317
2025-04-07,410,410,390,395,18340
2025-04-14,395,410,385,390,14951
2025-04-21,390,400,380,400,3632
2025-04-28,400,410,380,395,15718
2025-05-05,390,480,390,480,37299
2025-05-12,500,660,480,660,46267
2025-05-19,660,745,575,575,52762
2025-05-26,535,575,475,475,37693
2025-06-02,510,540,475,505,14993
2025-06-09,500,555,495,555,11331
2025-06-16,550,565,510,560,29639
2025-06-23,560,620,560,590,31594
2025-06-30,590,610,550,595,68665
2025-07-07,590,600,545,580,24162
2025-07-14,595,595,505,525,37423
2025-07-21,550,590,525,585,8652
2025-07-28,585,600,550,580,24094
2025-08-04,550,585,550,580,3863
2025-08-11,575,590,540,550,22974
2025-08-18,575,620,550,620,18809
2025-08-25,665,745,620,745,136577
2025-09-01,745,915,725,915,123196
2025-09-08,915,945,805,865,79145
2025-09-15,900,1010,865,1000,80347
2025-09-22,1000,1220,975,1220,87003
2025-09-29,1290,1395,1220,1275,249708
2025-10-06,1270,1435,1175,1425,186721
2025-10-13,1430,1550,1425,1550,168512
2025-10-20,1560,1875,1550,1700,120921
2025-10-27,1700,1990,1700,1895,139585
2025-11-03,1860,1895,1835,1850,9014
